,State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent
30,New Mexico,5,Biden,820631,356317,432585,43.42,52.714
31,New York,28,Biden,7113939,3041334,3792586,42.752,53.312
32,North Carolina,16,Trump,3665201,1870702,1641074,51.04,44.774
33,North Dakota,3,Trump,334311,223750,97711,66.929,29.228
34,Ohio,17,Trump,4709792,2420013,2117933,51.383,44.969
35,Oklahoma,7,Trump,1548922,1006629,477446,64.989,30.824
36,Oregon,8,Biden,2063770,792768,1168318,38.414,56.611
37,Pennsylvania,19,Trump,5603241,2758458,2631618,49.23,46.966
38,Rhode Island,4,Biden,500667,209897,267266,41.923,53.382
39,South Carolina,9,Trump,1991567,1131439,782542,56.811,39.293
40,South Dakota,3,Trump,367826,218381,133719,59.371,36.354
41,Tennessee,11,Trump,2771517,1645970,1000837,59.389,36.112
42,Texas,40,Trump,9927048,5060751,4475861,50.979,45.088
43,Utah,6,Trump,1229192,828386,349256,67.393,28.413
44,Vermont,3,Biden,314489,109152,191212,34.708,60.801
45,Virginia,13,Biden,3588525,1701926,1745356,47.427,48.637
46,Washington,12,Biden,3312657,1331637,1848860,40.198,55.812
47,West Virginia,4,Trump,701999,490905,181128,69.93,25.802
48,Wisconsin,10,Biden,2580052,1212807,1271162,47.007,49.269
49,Wyoming,3,Trump,218889,175827,33895,80.327,15.485
50,District of Columbia,3,Biden,400086,27369,358632,6.841,89.639
0,Alabama,9,Trump,1998955,1158248,767607,57.943,38.4
1,Alaska,3,Trump,297940,161542,125276,54.22,42.047
2,Arizona,11,Trump,2847147,1418483,1319292,49.821,46.337
3,Arkansas,6,Trump,1088137,743381,298877,68.317,27.467
4,California,54,Biden,13622912,4491609,8584590,32.971,63.016
5,Colorado,10,Biden,2528225,1052037,1376919,41.612,54.462
6,Connecticut,7,Biden,1421907,600857,765520,42.257,53.838
